,Date,Time
0,2019-12-05,03:50:35
1,2019-12-05,03:50:35
2,2019-12-05,00:03:14
3,2019-12-04,22:43:19
4,2019-12-04,22:36:31
5,2019-12-04,16:46:56
6,2019-12-04,14:26:37
7,2019-12-04,14:26:36
8,2019-12-04,14:26:36
9,2019-12-04,09:22:05
10,2019-12-03,23:53:13
11,2019-12-03,23:25:54
12,2019-12-03,15:33:08
13,2019-12-03,11:09:21
14,2019-12-02,23:11:01
15,2019-12-02,22:30:42
16,2019-12-02,22:21:21
17,2019-12-02,21:19:46
18,2019-12-02,20:03:19
19,2019-12-02,19:27:21
20,2019-12-02,18:17:15
21,2019-12-02,18:12:18
22,2019-12-02,18:07:44
23,2019-12-02,17:56:48
24,2019-12-02,17:15:33
25,2019-12-02,16:47:47
26,2019-12-02,16:43:02
27,2019-12-02,16:02:48
28,2019-12-02,14:22:53
29,2019-12-02,14:18:55
30,2019-12-02,14:00:29
31,2019-12-02,13:53:16
32,2019-12-02,12:35:36
33,2019-12-02,12:20:30
34,2019-12-02,12:07:20
35,2019-12-02,11:11:04
36,2019-12-02,10:59:33
37,2019-12-02,10:59:33
38,2019-12-02,10:55:24
39,2019-12-02,10:35:42
40,2019-12-02,07:21:57
41,2019-12-02,04:24:00
42,2019-12-01,18:31:40
43,2019-12-01,18:31:40
44,2019-12-01,01:28:18
45,2019-12-01,01:26:21
46,2019-12-01,01:24:34
47,2019-11-30,23:50:36
48,2019-11-30,23:43:34
49,2019-11-30,23:38:35
50,2019-11-30,23:27:15
51,2019-11-30,23:21:55
52,2019-11-30,23:11:04
53,2019-11-30,20:06:19
54,2019-11-29,14:06:02
55,2019-11-29,01:25:13
56,2019-11-28,21:42:19
57,2019-11-28,13:21:29
58,2019-11-27,22:11:03
59,2019-11-27,22:09:22
60,2019-11-27,22:06:22
61,2019-11-27,15:54:39
62,2019-11-27,14:45:18
63,2019-11-27,03:18:02
64,2019-11-27,03:09:33
65,2019-11-27,02:50:56
66,2019-11-26,21:28:17
67,2019-11-26,15:43:27
68,2019-11-26,15:43:26
69,2019-11-26,15:43:19
70,2019-11-26,11:53:16
71,2019-11-26,11:33:12
72,2019-11-26,11:23:44
73,2019-11-26,11:14:31
74,2019-11-26,04:38:40
75,2019-11-26,04:16:44
76,2019-11-25,22:25:41
77,2019-11-25,20:37:26
78,2019-11-25,15:05:40
79,2019-11-25,14:56:17
80,2019-11-25,12:54:31
81,2019-11-25,12:25:16
82,2019-11-24,23:33:02
83,2019-11-24,23:33:02
84,2019-11-24,23:32:58
85,2019-11-24,22:42:25
86,2019-11-24,22:16:30
87,2019-11-24,22:01:56
88,2019-11-24,19:58:51
89,2019-11-24,19:44:53
90,2019-11-24,19:14:07
91,2019-11-24,19:10:59
92,2019-11-24,19:08:30
93,2019-11-24,19:07:05
94,2019-11-24,18:35:49
95,2019-11-24,18:30:39
96,2019-11-24,14:43:08
97,2019-11-24,12:34:33
98,2019-11-24,12:30:58
99,2019-11-24,12:11:18
100,2019-11-24,04:53:36
101,2019-11-24,04:21:43
102,2019-11-24,04:20:43
103,2019-11-24,04:19:10
104,2019-11-23,22:57:15
105,2019-11-23,22:37:34
106,2019-11-23,20:17:51
107,2019-11-23,19:52:58
108,2019-11-23,19:52:49
109,2019-11-23,17:18:00
110,2019-11-23,17:05:49
111,2019-11-23,17:05:44
112,2019-11-23,16:25:37
113,2019-11-23,15:17:06
114,2019-11-23,02:28:48
115,2019-11-22,23:55:37
116,2019-11-22,19:04:35
117,2019-11-22,19:04:35
118,2019-11-22,19:04:35
119,2019-11-22,19:04:34
120,2019-11-22,18:53:37
121,2019-11-22,12:13:39
122,2019-11-22,12:05:23
123,2019-11-22,04:36:49
124,2019-11-22,04:09:52
125,2019-11-22,04:04:59
126,2019-11-22,04:00:48
127,2019-11-22,03:39:44
128,2019-11-22,02:35:31
129,2019-11-21,17:54:26
130,2019-11-21,17:54:25
131,2019-11-21,15:18:33
132,2019-11-21,15:18:31
133,2019-11-21,14:27:40
134,2019-11-21,14:19:31
135,2019-11-21,13:30:21
136,2019-11-21,13:16:50
137,2019-11-21,13:16:48
138,2019-11-21,13:15:27
139,2019-11-21,13:15:26
140,2019-11-21,13:08:33
141,2019-11-21,13:03:28
142,2019-11-21,12:58:58
143,2019-11-21,12:58:57
144,2019-11-21,12:32:50
145,2019-11-21,12:31:40
146,2019-11-21,12:26:31
147,2019-11-21,02:47:50
148,2019-11-21,01:22:51
149,2019-11-21,01:11:46
150,2019-11-21,01:03:39
151,2019-11-21,00:49:39
152,2019-11-20,23:38:10
153,2019-11-20,23:18:50
154,2019-11-20,19:04:30
155,2019-11-20,18:57:07
156,2019-11-20,18:57:06
157,2019-11-20,18:45:36
158,2019-11-20,18:03:40
