,Champions League,La Liga,Premier League
0,Kevin De Bruyne,San Mamés,Everton Liverpool
1,Hakim Ziyech How,Camp Nou,Georginio Wijnaldum
2,Karim Benzema,Diego Carlos,Jamie Vardy
3,Paulo Dybala,Alta Velocidad,Spurs Marcus Rashford
4,Cristiano Ronaldo,En Movistar,Dele Alli
5,Clarence Seedorf,Fidel Chaves,James Maddison
6,Charles Aránguiz,Leo Messi,Patrick Cutrone
7,Jadon Sancho,Borja García,Aston Villa Abraham
8,Dennis Bergkamp,Jimmy Suárez,Aston Villa
9,Serge Aurier,Simplemente LEO,Mason Mount
10,Ter Stegen,Wanda Metropolitano,Jonny Evans
11,Daniel Wass,Leandro Cabrera,Leicester GOAL Man Utd
12,Lautaro Martínez,Barça XI,Marcus Rashford
13,Romelu Lukaku,Andrés Iniesta,Michael Keane
14,Jasper Cillessen,La Resistencia,Man Utd
15,Yoann Gourcuff,Marc Roca,Tammy Abraham
16,Lasse Schöne,Gaizka Garitano,Divock Origi
17,Serie A Player,Jesús Navas,Aston Villa Leicester
18,Michael Essien,Le Normand,Spurs Southampton
19,David Villa,Fabián Orellana,Shane Long
20,Yachine Trophy,Donato Gama,Ryan Bertrand
21,De Ligt,Aritz Aduriz,Reece James
22,Leo Messi,Javi Lara,Danny Ings
23,Jordi Alba,Roy Makaay,Macus Rashford
24,Nicolás Tagliafico,Archil Arveladze,Unchanged XI
25,Joshua Kimmich,Jfurlanich ¿Cuánto,Will Sonny
26,Andy Robertson,Barbra Banda Si,Tottenham Hotspur
27,Raheem Sterling,Javi Moreno,Jose Mourinho
28,Lionel Messi,Ter Stegen,Diogo Jota
29,Braut Haaland,Calle Uria,Cheick Tiote
30,Steven Gerrard,Wu Lei,Roberto Firmino
31,Hakim Ziyech,Jfurlanich Archil Arveladze,Philippe Coutinho
32,Robert Lewandowski,Golden Boy,Man City
33,Ryan Giggs,Dely Valdés,Robbie Brady
34,Christian Vieri,Sergio Canales,Riyad Mahrez
35,𝗙𝗮𝗻𝘁𝗮𝘀𝘆 𝗧𝗲𝗮𝗺,Y NADA,David Silva
36,Nelson Valdez,Vicente Calderón,Gabriel Jesus
37,Rodrigo Tello,Samu Chukwueze,Jeffrey Schlupp
38,Van Dijk,Mejor Jugador,Will Man City
39,Alejandro Gómez,La Rosaleda,Adam Smith Crystal Palace
40,Quincy Promes,Iñaki Williams,Danny Drinkwater
41,Follow LIVE,Kike García,De Bruyne
42,Siya Kolisi,Kike Garcíak,Steve Cook
43,Christian Pulišić,Getafe CF,Harry Wilson
44,Either Valencia,Força Mágico,Aaron_Cresswell Will
45,Chelsea Zenit,Damián Suárez,Dean Smith
46,Santiago Cañizares,El Sadar,Seamus Coleman
47,Which French,El Alcoraz,Fabian Delph
48,João Félix,Willian José,Solly March
49,Álvaro Recoba,Santiago Bernabéu,Jose Izquierdo
50,Papu Gómez,Granada CF,Leon Osman
51,Kylian Mbappé,Nuevo Los Cármenes,Johan Elmander
52,Paris Group,Los Cármenes,Happy Birthday
53,Rúben Semedo,Adrián González,Christian Benteke
54,El Arabi,Día Internacional,Nottingham Forest
55,Youssef El Arabi,Rodrigo Ely,Match Officials
56,Di María,Xabi Prieto,Bernd_Leno Massive
57,Stadio San Siro,Hombre GOL,Sebastian Larsson
58,Ángel Di María,Calle Puerta,Dimitar Berbatov
59,Brugge Lokomotiv,Sergi Guardiola,Quique Sanchez Flores
60,Club Brugge,José Antonio Reyes,Danny Rose
61,Thomas Müller,Toko Ekambi,North London
62,Keylor Navas,David Fernández,Goal Goal Goal Goal Man
63,Jan Oblak,Sergio Fernández,Dijk Aaron Cresswell Danny Ings Raul
64,Thierry Henry,Caja Mágica,Kevin De Bruyne
65,Best Brazilian,Aritz López Garai,Jack Grealish Who
66,Mauro Icardi,Yoshito Ōkubo,Kelechi Iheanacho
67,Marco Verratti,Akihiro Ienaga,Victor Lindelof
68,Dani Alves,Santo Domingo,Everton Kelechi Iheanacho
69,Claude Makelele,Joseph Aidoo,Graham Scott
70,Gaizka Mendieta…,Samuel Umtiti,Everton Man Utd
71,José Mourinho,Gran Vía,Tom Heaton
72,Shunsuke Nakamura,Shōji Jō,Kasper Schmeichel
73,Philippe Mexès,Daniel Wass,Jack Grealish
74,Magic Mario Götze,Alberto Escassi,Old Trafford
75,Dušan Tadić,Antonio Puerta,Matt Doherty
76,Georginio Wijnaldum,Palabras Clave,Manchester United
77,Alisson Becker,Sergio Gil,Teemu Pukki
78,Roberto Firmino,Thomas Lemar,Sheff Utd
79,Best Juventus,Área Movistar,Lys Mousset
80,Gianluigi Buffon,Takefusa KUBO,John Egan
81,Mario Pašalić,Johan Cruyff,Dean Henderson
82,Julian Brandt,Emerson Royal,Quique Sánchez Flores
83,Ferland Mendy,Jagoba Arrasate,Ismalia Sarr
84,Lorenzo Insigne,Coliseum Alfonso Pérez,Matt Le Tissier
85,Peter Schmeichel,Levante UD,Watford Watford
86,Carlos Miguel Coronel,Son Moix,Lewis Dunk
87,Paul Scholes,Dani Rodríguez,Jonathan Moss
88,Iker Casillas,Lagoooooooo Junior,Michail Antonio
89,Kingsley Coman,Jose Mari,Robert Snodgrass
90,Peter Olayinka,Better Call,Aaron Cresswell
91,Roberto Carlos,Gran Canaria,Referee Lee
92,André Onana,Karim BENZEMA,Van Dijk
93,Divock Origi,Eden Hazard,Jonjo Shelvey
94,Raúl González,Niño Maravilla,Sergio Aguero
95,Péter Gulácsi,Mikel Rico,David Pemsel
96,Ondřej Kolář,Nuestro XI,Brendan Rodgers
97,Benni McCarthy,Tomás Pina,Grant Hanley
98,Manchester United,Benito Villamarín,Timm Klose
99,Philipp Lahm,Reale Arena,Alex T… RT
100,Manchester City,Puro Kroos,Todd Cantwell
101,Álvaro Morata,Nadie DEFINIÓ,Luka Milivojevic
102,Sergio Ramos,Vívelo GRATIS,John Egan Back
103,Douglas Costa,Unai Simón,Phil Jagielka
104,Cosmin Moţi,Rami Aboukhair,David McGoldrick
105,Wesley Sneijder,Ricardo Oliveira,Unai Emery Full
106,Leeds United,Pedro López,Unai Emery RT
107,Rio Ferdinand,La Caja Mágica,Ryan Giggs
108,Tony Watt,Pedro Emanuel,Adama Traore
109,Acharf Hakimi,Javier Aguirre,Joel Ward
110,Dinamo Zagreb,Villarreal Élite Camp Miami,Neil Mellor
111,Kyle Walker,Fran Escribá,Matt Ritchie
112,Gabriel Jesus,Nuevo Estadio,Will Gabriel Jesus
113,De Bruyne,José Bordalás,Hatem Ben Arfa
114,Bernardo Silva,Roberto Torres,André Gomes
115,Estadio Santiago Bernabéu,Víctor Laguardiaaaaaa,Jack Wilshere
116,Aleksei Miranchuk Follow,Define FELICIDAD,Group C
117,Aaron Ramsey,Madrid GOL,Graham Potter
118,Sergio Agüero,El Santo,Junior Stanislas
119,Arturo Vidal,Rodrigo Moreno,El Ghazi
120,Marcel Sabitzer,Valencia CF,Dwight Gayle
121,Geoffrey Kondogbia,Atleti Los,Conor Hourihane
122,Ferrán Torres,Aplaude San Mamés,Tim Sherwood
123,Hakimi Dortmund,Carlos Tartiere,Tanguy Ndombele
124,Brandt Dortmund,Estadio Benito Villamarín,Villa Park
125,Julian Nagelsmann,San Sebastián,Wayne Rooney
126,Alexander Zverev,El Athletic,Todd Cantwell Alexandre Lacazette Nick Pope Kevin De
127,San Paolo,Willian J.,Oliver McBurnie
128,Slavia Praha Zenit,Oliver Atom,Dan James
129,Slavia Praha,Jan Oblak,Mason Greenwood
130,Camp Nou,La Romareda,Brandon Williams
131,Zenit OR,Lluís Martí,Daniel James
132,Kasper Schmeichel,Girona FC,John Fleck
133,Genk Valencia,Darío Silva,Lionel Messi
134,Happy Birthday,Ruben García,Bramall Lane
