,Date,Time,,,
0,12/24/19,12:54:00,,,
1,12/23/19,9:49:57,,,
2,12/23/19,4:25:00,,,
3,12/23/19,2:40:45,,,
4,12/23/19,0:21:49,,,
5,12/21/19,7:01:01,,,
6,12/21/19,3:49:53,,,
7,12/21/19,0:36:40,,,
8,12/19/19,12:29:18,,,
9,12/19/19,6:47:47,,,
10,12/18/19,20:24:08,,,
11,12/18/19,3:57:21,,,
12,12/17/19,21:21:10,,,
13,12/17/19,3:50:28,,,
14,12/24/19,12:54:00,,,
15,12/23/19,9:49:57,,,
16,12/23/19,4:25:00,,,
17,12/23/19,2:40:45,,,
18,12/23/19,0:21:49,,,
19,12/22/19,9:39:49,,,
20,12/21/19,21:05:34,,,
21,12/21/19,7:01:01,,,
22,12/21/19,4:10:11,,,
23,12/21/19,3:49:53,,,
24,12/21/19,3:28:41,,,
25,12/21/19,2:00:04,,,
26,12/21/19,0:36:40,,,
27,12/20/19,20:58:08,,,
28,12/20/19,12:14:32,,,
29,12/20/19,6:03:42,,,
30,12/20/19,2:00:06,,,
31,12/19/19,19:29:21,,,
32,12/19/19,12:29:18,,,
33,12/19/19,6:47:47,,,
34,12/19/19,2:06:42,,,
35,12/18/19,20:24:08,,,
36,12/18/19,17:52:11,,,
37,12/18/19,16:12:24,,,
38,12/18/19,3:57:21,,,
39,12/18/19,1:00:07,,,
40,12/17/19,21:22:01,,,
41,12/17/19,21:21:10,,,
42,12/17/19,10:00:02,,,
43,12/17/19,3:50:28,,,
44,12/24/19,12:23:07,,,
45,12/23/19,2:50:18,,,
46,12/23/19,0:21:49,,,
47,12/22/19,20:27:58,,,
48,12/22/19,17:17:20,,,
49,12/22/19,13:56:50,,,
50,12/22/19,1:33:51,,,
51,12/21/19,21:17:21,,,
52,12/21/19,17:40:52,,,
53,12/21/19,4:25:01,,,
54,12/21/19,3:51:06,,,
55,12/21/19,3:32:20,,,
56,12/21/19,3:17:43,,,
57,12/20/19,7:11:02,,,
58,12/19/19,22:57:12,,,
59,12/19/19,0:45:32,,,
60,12/18/19,17:06:31,,,
