,7oldsamr.txt,alissadl.txt,aminegg.txt,bestwish.txt,burn.txt,crabhern.txt,mydream.txt,narciss.txt
abilities,0,0,0,0,1,0,0,0
ability,0,1,0,0,0,0,0,0
able,0,0,0,0,1,0,0,0
absolve,0,0,0,0,1,0,0,0
actual,0,1,0,0,0,0,0,0
adjourning,0,0,1,0,0,0,0,0
administer,0,1,0,0,0,0,0,0
admire,0,1,0,0,0,0,0,1
admired,0,0,0,0,0,0,0,1
admiring,0,0,0,0,0,0,0,1
advice,0,0,0,0,0,1,0,0
age,0,0,0,0,0,1,0,0
ago,0,0,1,0,0,0,0,0
agreed,0,0,1,0,0,1,0,0
air,0,0,1,0,0,0,1,0
ali,0,11,0,0,0,0,0,0
allow,0,0,0,0,1,0,0,0
amin,0,0,11,0,0,0,0,0
ancient,0,0,0,0,0,0,0,1
andy,0,0,0,0,0,0,1,0
angry,0,1,0,0,1,0,0,0
answered,0,0,0,0,0,0,1,0
antagonist,0,0,0,0,1,0,0,0
appeared,0,0,1,0,0,0,0,0
applauded,0,1,0,0,0,0,0,0
appointed,0,0,1,0,0,0,0,0
armour,1,0,0,0,0,0,0,0
army,2,0,0,0,0,0,0,0
asked,0,1,1,0,0,1,0,0
asking,0,0,1,0,0,0,0,0
ate,1,0,0,0,0,0,0,0
attack,1,0,0,0,0,0,0,0
attacked,1,0,0,0,0,0,0,0
avoid,0,0,0,0,0,1,0,0
awake,0,0,0,0,0,0,3,0
away,0,0,1,0,0,2,0,0
awful,0,0,0,0,0,1,0,0
bad,0,0,0,1,0,0,0,0
balance,0,0,0,0,0,0,0,1
band,1,0,0,0,0,0,0,0
bandits,3,0,0,0,0,0,0,0
banks,0,0,0,0,0,1,0,0
barely,0,0,0,0,0,0,2,0
battered,1,0,0,0,0,0,0,0
battle,0,0,0,0,1,0,0,0
beak,0,0,0,0,0,1,0,0
beans,0,0,2,0,0,0,0,0
beautiful,0,0,0,1,0,0,0,2
beauty,0,0,0,0,0,0,0,2
bed,0,0,0,0,0,0,5,0
bedroom,0,0,0,0,0,0,1,0
began,0,0,0,0,0,1,0,0
beggars,1,0,0,0,0,0,0,0
begged,0,0,0,0,0,1,0,0
begins,0,0,0,0,2,0,0,0
believed,0,0,0,0,1,0,0,0
bend,0,0,0,0,0,1,0,0
bent,0,0,0,0,0,0,0,1
bidding,1,0,0,0,0,0,0,0
big,0,0,0,0,0,0,1,0
birds,0,0,0,0,0,1,0,0
bitch,0,0,0,0,0,0,1,0
bitterness,0,0,0,0,1,0,0,0
black,0,0,1,0,0,0,0,0
blame,0,0,0,0,1,0,0,0
blink,2,0,0,0,0,0,0,0
bloodthirsty,1,0,0,0,0,0,0,0
blossoms,0,0,0,0,0,0,0,1
blowing,1,0,0,0,0,0,0,0
body,0,0,0,0,0,0,0,2
boiled,0,0,4,0,0,0,0,0
bones,0,0,0,0,0,1,0,0
born,0,0,0,1,0,0,0,0
bother,0,0,0,1,0,0,0,0
bottle,1,0,0,0,0,0,0,0
bought,0,0,1,0,0,0,0,0
bowed,0,1,0,0,0,0,0,0
boy,0,0,0,1,1,0,0,0
boyfriend,0,0,0,0,1,0,0,0
boys,0,0,0,0,1,0,0,0
brass,0,0,0,0,0,0,1,0
breath,0,0,1,0,0,0,0,0
bring,0,1,0,0,0,0,0,0
brother,0,0,0,0,2,0,4,0
brought,0,1,0,0,0,0,0,0
bunk,0,0,0,0,0,0,1,0
burn,0,0,0,0,3,0,0,0
burned,1,0,0,0,0,0,0,0
buy,0,0,0,0,1,0,0,0
called,0,2,1,0,0,0,0,2
calm,0,0,0,0,0,0,1,0
came,0,0,0,0,0,0,2,0
camel,0,0,1,0,0,0,0,0
cares,1,0,0,0,0,0,0,0
carry,0,0,0,0,0,1,0,0
cartoon,0,0,0,0,0,0,1,0
carve,0,0,0,0,0,0,0,1
case,0,0,1,0,0,0,0,0
catch,0,0,0,0,0,1,0,0
caused,0,0,0,0,1,0,0,0
cave,2,0,0,0,0,0,0,0
cement,0,0,0,0,0,0,2,0
centre,0,0,0,0,1,0,0,0
certain,0,0,0,0,0,1,0,0
certainly,0,0,0,0,0,1,0,0
chance,0,0,0,1,0,0,0,1
chanced,1,0,0,0,0,0,0,0
change,0,0,0,1,1,0,0,0
changed,0,0,0,4,0,0,0,0
chanting,0,0,0,0,0,0,1,0
charges,0,0,0,0,1,0,0,0
charmed,0,1,0,0,0,0,0,0
chatterbox,0,0,0,0,0,1,0,0
cheek,0,1,0,0,0,0,0,0
cheered,0,1,0,0,0,0,0,0
chickens,0,0,3,0,0,0,0,0
choise,0,0,0,1,0,0,0,0
choose,0,1,0,0,0,0,0,0
chuckled,0,1,0,0,0,0,0,0
clapped,0,1,0,0,0,0,0,0
clear,0,0,0,0,0,0,1,1
climb,1,0,0,0,0,1,0,0
close,0,0,0,0,0,0,0,1
closer,0,0,0,0,1,0,0,1
closet,0,0,0,0,0,0,1,0
clouds,1,0,0,0,0,0,0,0
clung,0,0,0,0,0,1,0,0
cockerels,0,0,1,0,0,0,0,0
coins,0,0,2,0,0,0,0,0
cold,1,0,0,0,0,0,0,1
colossal,0,0,0,0,1,0,0,0
combustion,0,0,0,0,1,0,0,0
come,3,0,0,0,0,0,0,1
coming,0,0,0,0,0,2,0,0
command,1,0,0,0,0,0,0,0
communicate,0,0,0,0,1,0,0,0
comparing,0,1,0,0,0,0,0,0
computer,0,0,0,0,0,0,1,0
confused,0,0,0,0,1,0,0,0
considers,0,0,0,0,1,0,0,0
contained,1,0,0,0,0,0,0,0
continue,0,0,0,0,1,0,0,0
control,0,0,0,0,0,0,2,0
controlling,0,0,0,0,1,0,0,0
corner,2,0,0,0,0,0,0,0
correct,0,0,0,1,0,0,0,0
couldn,0,0,0,0,0,0,2,0
counted,0,0,0,1,0,0,0,0
course,0,0,2,0,0,0,0,0
court,0,1,1,0,0,0,0,0
covered,1,0,0,0,0,0,0,0
crab,0,0,0,0,0,9,0,0
crabs,0,0,0,0,0,1,0,0
credit,0,0,3,0,0,0,0,0
creditcards,0,0,0,1,0,0,0,0
cried,0,1,0,0,0,0,0,0
crisis,0,0,0,0,1,0,0,0
crop,0,0,1,0,0,0,0,0
crops,0,0,1,0,0,0,0,0
crowned,0,0,0,0,0,0,0,1
curly,0,0,0,0,0,0,0,1
cuz,0,0,0,0,0,0,1,0
dallying,0,0,0,0,0,1,0,0
dan,0,0,0,0,2,0,0,0
dark,0,0,0,0,0,0,0,1
dashed,0,0,1,0,0,0,0,0
day,0,0,1,2,0,1,0,2
days,1,0,0,0,1,1,0,0
dead,1,0,0,0,0,0,0,0
