,7oldsamr.txt,alissadl.txt,aminegg.txt,bestwish.txt,burn.txt,crabhern.txt,mydream.txt,narciss.txt
abilities,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
ability,0.0,0.04925,0.0,0.0,0.0,0.0,0.0,0.0
able,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
absolve,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
actual,0.0,0.04925,0.0,0.0,0.0,0.0,0.0,0.0
adjourning,0.0,0.0,0.05322,0.0,0.0,0.0,0.0,0.0
administer,0.0,0.04925,0.0,0.0,0.0,0.0,0.0,0.0
admire,0.0,0.04128,0.0,0.0,0.0,0.0,0.0,0.0607
admired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243
admiring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243
advice,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
age,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
ago,0.0,0.0,0.05322,0.0,0.0,0.0,0.0,0.0
agreed,0.0,0.0,0.0446,0.0,0.0,0.03994,0.0,0.0
air,0.0,0.0,0.0446,0.0,0.0,0.0,0.04017,0.0
ali,0.0,0.54178,0.0,0.0,0.0,0.0,0.0,0.0
allow,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
amin,0.0,0.0,0.58539,0.0,0.0,0.0,0.0,0.0
ancient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243
andy,0.0,0.0,0.0,0.0,0.0,0.0,0.04794,0.0
angry,0.0,0.04128,0.0,0.0,0.04589,0.0,0.0,0.0
answered,0.0,0.0,0.0,0.0,0.0,0.0,0.04794,0.0
antagonist,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
appeared,0.0,0.0,0.05322,0.0,0.0,0.0,0.0,0.0
applauded,0.0,0.04925,0.0,0.0,0.0,0.0,0.0,0.0
appointed,0.0,0.0,0.05322,0.0,0.0,0.0,0.0,0.0
armour,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
army,0.09997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asked,0.0,0.03562,0.03849,0.0,0.0,0.03446,0.0,0.0
asking,0.0,0.0,0.05322,0.0,0.0,0.0,0.0,0.0
ate,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attacked,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avoid,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
awake,0.0,0.0,0.0,0.0,0.0,0.0,0.14381,0.0
away,0.0,0.0,0.0446,0.0,0.0,0.07987,0.0,0.0
awful,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
bad,0.0,0.0,0.0,0.04724,0.0,0.0,0.0,0.0
balance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243
band,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bandits,0.14996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banks,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
barely,0.0,0.0,0.0,0.0,0.0,0.0,0.09587,0.0
battered,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battle,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
beak,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
beans,0.0,0.0,0.10644,0.0,0.0,0.0,0.0,0.0
beautiful,0.0,0.0,0.0,0.03959,0.0,0.0,0.0,0.12141
beauty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14486
bed,0.0,0.0,0.0,0.0,0.0,0.0,0.23968,0.0
bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.04794,0.0
began,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
beggars,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
begged,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
begins,0.0,0.0,0.0,0.0,0.10951,0.0,0.0,0.0
believed,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
bend,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
bent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243
bidding,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
big,0.0,0.0,0.0,0.0,0.0,0.0,0.04794,0.0
birds,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
bitch,0.0,0.0,0.0,0.0,0.0,0.0,0.04794,0.0
bitterness,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
black,0.0,0.0,0.05322,0.0,0.0,0.0,0.0,0.0
blame,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
blink,0.09997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bloodthirsty,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blossoms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243
blowing,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
body,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14486
boiled,0.0,0.0,0.21287,0.0,0.0,0.0,0.0,0.0
bones,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
born,0.0,0.0,0.0,0.04724,0.0,0.0,0.0,0.0
bother,0.0,0.0,0.0,0.04724,0.0,0.0,0.0,0.0
bottle,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bought,0.0,0.0,0.05322,0.0,0.0,0.0,0.0,0.0
